순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
1,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,27,6,62,3,69,7,0.359,0.363,0.722,16,6,8,25,138,167,0.83,3,3.86,75.1,0,37,0.294,0,0.9,0.072,0.253,102.9,0.341,4.2,0.319,10.4,11.6,67.2,0.233
2,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,1,0,67,8,98,9,0.529,0.399,0.928,0,5,0,55,103,129,0.8,9,3.99,95.1,8,38,0.294,0.6,0.68,0.222,0.312,156.6,0.416,5,0.341,12.2,17.9,97.6,0.367
3,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,3,0,52,4,142,9,0.535,0.321,0.856,13,6,0,56,67,121,0.55,5,4.39,75.8,2,25,0.207,0.2,0.37,0.3,0.278,125.4,0.372,3.5,0.257,10.7,29.2,72.5,0.429
4,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,2,34,3,158,11,0.432,0.323,0.755,11,0,0,36,92,71,1.3,7,4.07,56.7,2,32,0.239,0.143,0.22,0.167,0.253,103.5,0.342,1.6,0.375,7.2,33.3,60.2,0.24
5,김호령,KIA,0.283,105,381,332,46,94,26,3,6,144,39,12,1,34,6,94,4,0.434,0.359,0.793,6,1,8,35,55,90,0.61,1,3.8,52.5,0,26,0.27,0,0.36,0.151,0.27,119.9,0.365,3.1,0.378,8.9,24.7,50.4,0.286
6,나성범,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,0,42,6,79,6,0.444,0.381,0.825,0,1,0,26,52,61,0.85,4,4.14,44.5,1,16,0.257,0.4,0.53,0.176,0.282,131.6,0.381,2.4,0.347,13.5,25.5,42.9,0.337
7,김선빈,KIA,0.321,84,308,271,31,87,18,1,3,116,46,4,0,31,3,35,9,0.428,0.395,0.823,9,1,2,22,85,65,1.31,5,3.93,43,0,25,0.352,0.333,0.89,0.107,0.285,133.2,0.383,1.6,0.359,10.1,11.4,45.3,0.236
8,한준수,KIA,0.225,103,276,244,33,55,12,1,7,90,26,0,0,26,3,48,4,0.369,0.304,0.673,3,3,0,20,59,85,0.69,4,3.94,29.3,1,11,0.197,0.261,0.54,0.143,0.229,81.1,0.311,1,0.25,9.4,17.4,27,0.25
9,김태군,KIA,0.258,100,274,236,20,61,10,1,5,88,31,0,0,17,10,20,9,0.373,0.331,0.704,7,3,8,16,78,80,0.98,3,3.5,29.2,1,16,0.278,0,0.85,0.114,0.242,92.9,0.327,1.5,0.262,6.2,7.3,27.1,0.186
10,김규성,KIA,0.233,133,222,193,30,45,4,0,3,58,16,5,2,21,2,49,1,0.301,0.313,0.614,10,1,5,7,47,53,0.89,2,3.8,20.8,0,9,0.204,0.714,0.43,0.067,0.216,69.4,0.295,0.1,0.296,9.5,22.1,17.9,0.192
11,윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,1,8,1,36,1,0.47,0.316,0.786,9,0,2,15,35,37,0.95,1,3.63,21.6,0,12,0.296,0,0.22,0.195,0.26,109.9,0.351,-0.1,0.327,5,22.5,21.8,0.255
12,변우혁,KIA,0.218,47,153,142,11,31,7,0,0,38,17,0,0,10,1,47,3,0.268,0.275,0.543,4,0,0,7,28,36,0.78,3,3.95,9.3,0,9,0.311,0.2,0.21,0.049,0.191,44.2,0.26,-0.1,0.326,6.5,30.7,10.3,0.12
13,김석환,KIA,0.265,47,134,117,14,31,1,2,2,42,16,0,0,14,2,55,0,0.359,0.351,0.71,0,1,0,5,22,10,2.2,3,4.51,16.3,0,7,0.345,0.625,0.25,0.094,0.248,98.9,0.336,0.4,0.475,10.4,41,14.4,0.214
14,고종욱,KIA,0.296,46,123,115,13,34,2,0,3,45,16,2,1,5,0,17,2,0.391,0.317,0.708,0,3,0,5,35,32,1.09,3,3.46,14.9,1,7,0.321,0.438,0.29,0.096,0.24,87.3,0.319,0.3,0.316,4.1,13.8,14.6,0.148
15,김도영,KIA,0.309,30,122,110,20,34,9,0,7,64,27,3,0,10,0,23,3,0.582,0.361,0.943,5,2,0,16,22,33,0.67,5,3.64,22,1,10,0.294,1,0.43,0.273,0.308,152.3,0.41,1.4,0.329,8.2,18.9,23.5,0.391
16,이창진,KIA,0.161,37,113,93,11,15,3,0,1,21,9,0,2,16,2,22,2,0.226,0.295,0.521,1,1,1,4,28,29,0.97,2,4.27,7.1,0,2,0.143,0.5,0.73,0.065,0.189,48.7,0.266,-0.4,0.197,14.2,19.5,6,0.215
17,박민,KIA,0.202,71,105,94,11,19,5,0,1,27,6,1,0,5,3,33,1,0.287,0.265,0.552,3,0,3,6,19,23,0.83,0,3.78,7.2,0,4,0.211,0.25,0.15,0.085,0.191,45.5,0.262,0.5,0.3,4.8,31.4,6.5,0.149
18,박정우,KIA,0.274,53,75,62,17,17,2,0,0,19,4,2,1,10,3,12,1,0.306,0.4,0.706,0,0,0,2,17,16,1.06,0,3.92,8.9,0,2,0.267,0,0.83,0.032,0.257,110.9,0.352,0.2,0.34,13.3,16,7.1,0.21
19,박재현,KIA,0.081,58,69,62,11,5,1,0,0,6,3,4,3,6,0,26,0,0.097,0.159,0.256,3,1,0,1,17,15,1.13,0,3.81,-0.4,0,0,0.059,0.143,0.23,0.016,0.096,-43,0.139,-1.5,0.135,8.7,37.7,1,0.129
20,황대인,KIA,0.189,18,57,53,3,10,3,0,1,16,8,0,0,3,0,14,0,0.302,0.228,0.53,2,1,0,4,16,14,1.14,0,4.05,4,0,3,0.25,0,0.21,0.113,0.178,30.8,0.241,-0.5,0.231,5.3,24.6,3.7,0.17
21,정해원,KIA,0.075,24,46,40,5,3,0,0,0,3,0,0,0,5,1,14,4,0.075,0.196,0.271,1,0,0,0,11,12,0.92,0,4.13,-1.4,0,0,0.091,0.167,0.36,0,0.107,-27.8,0.16,-0.5,0.115,10.9,30.4,0.5,0.125
22,서건창,KIA,0.136,10,26,22,1,3,1,0,1,7,2,1,0,2,0,5,1,0.318,0.208,0.526,0,0,2,2,8,6,1.33,0,3.69,1.5,0,0,0,0.333,0.4,0.182,0.173,29.5,0.239,0.1,0.125,7.7,19.2,1.5,0.318
23,한승택,KIA,0.238,15,23,21,3,5,1,0,0,6,0,0,0,1,1,7,1,0.286,0.304,0.59,0,0,0,1,6,3,2,0,3.7,1.5,0,1,0.125,0.333,0.14,0.048,0.208,62.1,0.285,0.1,0.357,4.3,30.4,1.6,0.095
24,정현창,KIA,0.263,16,21,19,4,5,0,0,0,5,0,0,1,2,0,5,0,0.263,0.333,0.596,0,0,0,0,2,7,0.29,0,3.71,1.6,0,0,0,0.25,0.4,0,0.216,68.3,0.293,0,0.357,9.5,23.8,1.7,0.053
25,주효상,KIA,0.333,8,17,15,1,5,2,0,0,7,1,0,0,2,0,4,0,0.467,0.412,0.879,1,0,0,2,3,3,1,0,4.29,2.7,0,1,0.667,0,0.5,0.133,0.302,149.6,0.406,0.2,0.455,11.8,23.5,2.9,0.267
26,박헌,KIA,0.083,8,14,12,0,1,0,0,0,1,0,0,0,1,1,3,0,0.083,0.214,0.297,0,0,0,0,4,4,1,0,4.07,0.2,0,0,0,0,0.33,0,0.117,-16.3,0.176,-0.2,0.111,7.1,21.4,0.2,0.083
27,최정용,KIA,0.167,4,6,6,0,1,0,0,0,1,0,0,0,0,0,2,1,0.167,0.167,0.334,0,0,0,0,1,2,0.5,0,3.67,-0.3,0,0,0,0,0,0,0.117,-31.4,0.155,0,0.25,0,33.3,0.2,0
28,김기훈,KIA,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,100,0,0
29,황동하,KIA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,조상우,KIA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,정해영,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,이성원,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,김현수,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,김시훈,KIA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,이준영,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,전상현,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,김대유,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,한재승,KIA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,7,1,75,9,72,4,0.57,0.448,1.018,8,3,0,45,93,101,0.92,7,4.2,97.5,5,38,0.333,0,1.04,0.235,0.344,185.9,0.456,7,0.362,15.6,14.9,99.1,0.441
2,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,4,1,39,15,35,14,0.355,0.362,0.717,10,4,3,22,129,141,0.91,5,3.88,54.9,1,33,0.29,0,1.11,0.071,0.252,102.2,0.34,3,0.299,8.1,7.3,51.3,0.171
3,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,0,1,55,2,96,13,0.38,0.333,0.713,5,8,2,27,86,137,0.63,8,4.01,55.5,1,25,0.191,0.25,0.57,0.133,0.245,94.8,0.33,2.2,0.283,11.5,20,52.7,0.264
4,황재균,KT,0.275,112,424,385,50,106,19,0,7,146,48,3,1,34,2,84,2,0.379,0.336,0.715,5,2,1,26,84,113,0.74,3,3.91,50.4,1,31,0.403,0.111,0.4,0.104,0.246,96,0.332,0.7,0.334,8,19.8,48.8,0.197
5,김상수,KT,0.254,113,423,355,42,90,14,0,5,119,47,3,1,52,4,57,8,0.335,0.349,0.684,8,7,5,19,106,109,0.97,6,4.11,47.5,1,20,0.287,0.25,0.91,0.082,0.241,92.6,0.327,2.6,0.283,12.3,13.5,41.5,0.234
6,김민혁,KT,0.287,106,417,380,52,109,12,2,0,125,35,11,3,25,7,41,12,0.329,0.341,0.67,2,1,4,14,145,86,1.69,7,3.63,41.4,1,29,0.262,0.286,0.61,0.042,0.236,86.5,0.318,0.3,0.321,6,9.8,41.4,0.129
7,로하스,KT,0.239,95,384,331,48,79,20,0,14,141,43,1,1,48,1,71,9,0.426,0.333,0.759,4,4,0,34,82,103,0.8,11,4.02,48.2,3,18,0.227,0.167,0.68,0.187,0.256,106.5,0.346,1.6,0.26,12.5,18.5,47.2,0.332
8,강백호,KT,0.265,95,369,321,41,85,18,1,15,150,61,2,4,44,3,64,9,0.467,0.358,0.825,1,1,0,34,86,87,0.99,7,3.91,51.2,3,21,0.3,0.5,0.69,0.202,0.278,126.7,0.374,1.8,0.288,11.9,17.3,53,0.333
9,권동진,KT,0.225,123,309,271,34,61,12,3,1,82,25,3,1,30,1,91,8,0.303,0.304,0.607,15,1,6,16,66,54,1.22,1,4.08,24.5,0,12,0.27,0.5,0.33,0.077,0.213,66.3,0.29,1,0.333,9.7,29.4,24.8,0.196
10,배정대,KT,0.204,99,276,240,25,49,11,2,2,70,28,6,3,19,7,65,4,0.292,0.279,0.571,1,3,7,15,70,59,1.19,2,3.95,21,0,11,0.281,0.143,0.29,0.088,0.199,52.8,0.272,-0.2,0.267,6.9,23.6,18.4,0.179
11,문상철,KT,0.214,79,209,173,22,37,6,1,5,60,20,1,1,25,5,44,3,0.347,0.325,0.672,0,3,3,12,44,51,0.86,1,3.96,22.6,0,6,0.178,0.25,0.57,0.133,0.233,86.2,0.318,0.1,0.252,12,21.1,18.8,0.277
12,오윤석,KT,0.256,77,184,156,30,40,8,1,0,50,19,0,0,12,7,41,4,0.321,0.335,0.656,1,1,8,9,45,31,1.45,0,4.01,17.2,0,8,0.302,0.3,0.29,0.064,0.231,83.8,0.315,0.7,0.345,6.5,22.3,15.5,0.141
13,스티븐슨,KT,0.262,39,168,149,26,39,12,0,3,60,14,2,0,14,4,43,2,0.403,0.341,0.744,2,0,1,15,38,29,1.31,0,3.93,20.5,0,12,0.258,0,0.33,0.141,0.254,105.5,0.345,0.6,0.35,8.3,25.6,19.5,0.248
14,장진혁,KT,0.209,86,157,139,19,29,3,1,4,46,19,1,0,13,0,46,1,0.331,0.275,0.606,1,1,4,8,35,30,1.17,3,3.97,14,0,5,0.184,0.167,0.28,0.122,0.207,59.3,0.281,0.1,0.278,8.3,29.3,12.7,0.223
15,장준원,KT,0.207,73,154,140,10,29,3,0,1,35,11,0,0,8,0,27,5,0.25,0.248,0.498,3,1,5,4,57,28,2.04,0,3.62,7.3,0,6,0.182,0,0.3,0.043,0.174,27.2,0.236,0.3,0.248,5.2,17.5,8.8,0.1
16,이정훈,KT,0.258,59,148,132,20,34,4,0,4,50,14,0,1,13,3,48,4,0.379,0.338,0.717,1,0,0,8,28,22,1.27,2,4.14,16.1,0,6,0.258,0.286,0.27,0.121,0.247,98.1,0.334,0,0.375,8.8,32.4,16.2,0.212
17,조대현,KT,0.187,64,90,75,7,14,4,0,0,18,11,0,0,7,2,22,0,0.24,0.274,0.514,7,0,6,4,19,20,0.95,1,3.88,5.5,0,1,0.348,0.5,0.32,0.053,0.183,40.1,0.254,-0.5,0.264,7.8,24.4,4.6,0.147
18,강현우,KT,0.188,40,78,64,5,12,1,0,1,16,8,0,0,10,0,14,1,0.25,0.293,0.543,4,1,3,2,18,21,0.86,2,3.71,5.9,0,2,0.235,0.364,0.71,0.063,0.194,50.8,0.269,-0.2,0.22,12.8,17.9,4.8,0.219
19,이호연,KT,0.343,32,75,70,8,24,7,0,1,34,8,0,0,3,1,14,2,0.486,0.378,0.864,1,0,1,8,24,8,3,0,3.4,10.9,0,5,0.3,0.389,0.21,0.143,0.292,139.5,0.392,0.4,0.418,4,18.7,12.6,0.186
20,안치영,KT,0.227,47,56,44,9,10,1,0,1,14,6,0,2,4,3,13,1,0.318,0.327,0.645,0,1,4,2,12,10,1.2,1,3.93,4.9,0,1,0.308,0,0.31,0.091,0.227,79.8,0.309,0,0.29,7.1,23.2,4.1,0.136
21,유준규,KT,0.118,35,41,34,13,4,2,0,0,6,3,2,1,7,0,13,0,0.176,0.268,0.444,0,0,0,2,11,6,1.83,0,3.83,2.1,0,0,0.111,0,0.54,0.059,0.165,28.7,0.238,-0.3,0.19,17.1,31.7,1.6,0.294
22,강민성,KT,0.033,25,36,30,0,1,0,0,0,1,1,0,0,5,0,15,1,0.033,0.167,0.2,0,1,0,0,4,11,0.36,0,4.75,-0.5,0,0,0,0,0.33,0,0.083,-48.5,0.131,-0.1,0.063,13.9,41.7,0.2,0.167
23,박민석,KT,0.263,19,21,19,5,5,1,1,0,8,1,0,1,2,0,4,0,0.421,0.333,0.754,2,0,0,2,8,2,4,0,3.67,2.3,0,1,0,0,0.5,0.158,0.255,107.3,0.347,-0.1,0.333,9.5,19,2.7,0.211
23,최성민,KT,0.105,32,21,19,3,2,0,0,0,2,2,1,0,1,0,5,0,0.105,0.15,0.255,1,0,1,0,8,4,2,0,3.9,0,0,0,0.5,0,0.2,0,0.094,-48.7,0.131,-0.4,0.143,4.8,23.8,0.3,0.105
25,윤준혁,KT,0.059,28,18,17,4,1,1,0,0,2,0,1,0,0,0,5,0,0.118,0.059,0.177,0,0,1,1,3,8,0.38,0,3.78,-0.5,0,0,0,0,0,0.059,0.056,-87.7,0.077,-0.6,0.083,0,27.8,0.1,0.118
26,김병준,KT,0.2,9,5,5,2,1,0,0,0,1,0,0,0,0,0,2,0,0.2,0.2,0.4,0,0,0,0,1,1,1,0,3.4,0.1,0,0,0,0,0,0,0.14,-9.2,0.186,-0.1,0.333,0,40,0.2,0
27,김건형,KT,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,0,0,0
28,김민석,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,박경수,KT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,오서진,KT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,송민섭,KT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,이정현,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,주권,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,김민수,KT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,손동현,KT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,이상동,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,박건우,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,우규민,KT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,최동환,KT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,박영현,KT,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,3,1,79,4,108,15,0.46,0.371,0.831,16,9,0,46,162,112,1.45,13,4.13,90.2,3,38,0.274,0.333,0.73,0.184,0.282,129,0.377,5.5,0.301,13,17.8,88.2,0.342
2,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,4,0,64,4,73,10,0.422,0.384,0.806,4,1,0,36,147,120,1.23,15,3.89,77.9,1,36,0.362,0.4,0.88,0.124,0.278,127.3,0.375,3.5,0.331,11.6,13.2,77.6,0.265
3,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,49,14,68,8,94,7,0.346,0.379,0.725,1,4,22,23,100,130,0.77,3,3.96,69.3,0,29,0.231,0,0.72,0.07,0.257,108.9,0.349,4.7,0.341,12.5,17.3,57,0.303
4,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,4,3,54,4,59,10,0.375,0.375,0.75,1,9,0,25,166,114,1.46,10,3.77,69.7,0,43,0.321,0.167,0.92,0.069,0.263,110.7,0.352,3.5,0.336,10,10.9,67,0.185
5,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,15,9,62,3,57,7,0.382,0.395,0.777,12,4,6,23,191,74,2.58,4,3.89,72.5,0,37,0.407,0.5,1.09,0.069,0.273,122.4,0.368,4.9,0.352,11.5,10.6,69.8,0.216
6,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,4,0,62,2,124,10,0.455,0.342,0.797,8,5,3,47,110,108,1.02,8,3.89,72.2,4,27,0.235,0.143,0.5,0.202,0.268,116.5,0.36,4.3,0.297,11.9,23.7,70.3,0.348
7,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,3,0,61,2,62,11,0.595,0.393,0.988,8,11,0,57,74,167,0.44,11,3.79,96.2,7,38,0.292,0,0.98,0.282,0.326,166.8,0.43,5.9,0.297,12.2,12.4,101,0.433
8,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,9,7,37,3,115,4,0.43,0.314,0.744,9,6,7,41,90,114,0.79,6,4.19,58.8,0,27,0.283,0.333,0.32,0.177,0.249,98.2,0.335,2,0.306,7.8,24.4,56.4,0.27
9,구본혁,LG,0.286,131,397,343,41,98,16,2,1,121,38,10,5,36,6,44,4,0.353,0.364,0.717,6,0,12,19,100,101,0.99,2,3.8,45.5,1,26,0.299,0.333,0.82,0.067,0.252,103.1,0.341,2.9,0.326,9.1,11.1,42.8,0.187
10,홍창기,LG,0.287,51,215,174,32,50,4,0,1,57,16,3,0,29,6,40,4,0.328,0.399,0.727,0,4,2,5,59,29,2.03,1,4.32,27.9,0,11,0.146,0.667,0.73,0.04,0.262,112.8,0.355,1.2,0.358,13.5,18.6,22.2,0.224
11,천성호,LG,0.237,83,199,173,24,41,9,2,1,57,17,3,1,17,5,29,2,0.329,0.323,0.652,4,0,4,12,58,45,1.29,3,3.67,19.5,0,8,0.25,0.154,0.59,0.092,0.228,81.6,0.312,0.6,0.28,8.5,14.6,17.4,0.202
12,송찬의,LG,0.211,66,166,147,18,31,9,1,3,51,20,2,2,9,8,49,4,0.347,0.291,0.638,1,1,1,13,29,39,0.74,3,3.9,14.4,0,7,0.237,0.273,0.18,0.136,0.218,71.5,0.298,0,0.292,5.4,29.5,13.1,0.197
13,이주헌,LG,0.219,76,156,128,22,28,3,0,4,43,9,0,0,18,8,30,2,0.336,0.351,0.687,4,0,2,7,31,39,0.79,1,3.78,17.4,0,5,0.111,0.25,0.6,0.117,0.242,96.7,0.333,0.9,0.255,11.5,19.2,13.5,0.258
14,최원영,LG,0.282,119,115,103,37,29,5,0,0,34,2,8,4,4,4,20,4,0.33,0.33,0.66,1,1,3,5,30,25,1.2,0,3.55,10.7,0,2,0.174,0.667,0.2,0.049,0.231,81.6,0.312,0.6,0.345,3.5,17.4,10.5,0.126
15,이영빈,LG,0.208,44,75,72,12,15,1,1,3,27,9,1,0,1,0,35,1,0.375,0.216,0.591,0,1,1,5,9,14,0.64,0,4.45,6.2,0,1,0.238,0,0.03,0.167,0.191,42.3,0.257,0,0.343,1.3,46.7,5.9,0.194
16,박관우,LG,0.264,39,58,53,12,14,2,0,2,22,13,0,0,3,1,11,1,0.415,0.31,0.725,1,1,0,4,13,16,0.81,0,3.5,7.1,0,0,0.294,0.368,0.27,0.151,0.243,92.2,0.326,-0.1,0.293,5.2,19,6.7,0.208
17,함창건,LG,0.188,15,36,32,2,6,2,0,0,8,2,0,0,3,0,9,1,0.25,0.25,0.5,0,1,0,2,6,12,0.5,0,3.75,2,0,1,0.1,0.2,0.33,0.063,0.175,29,0.239,-0.1,0.25,8.3,25,2.1,0.156
18,문정빈,LG,0.167,21,33,30,5,5,0,0,2,11,4,0,0,1,2,11,0,0.367,0.242,0.609,0,0,0,2,7,7,1,0,3.88,3.1,0,1,0.1,0.333,0.09,0.2,0.201,55.4,0.275,-0.1,0.176,3,33.3,2.1,0.233
19,김주성,LG,0.2,16,17,15,3,3,0,0,1,6,1,0,2,1,1,2,0,0.4,0.294,0.694,1,0,0,1,4,6,0.67,0,3.94,1.4,0,0,0,0.25,0.5,0.2,0.232,85.3,0.317,-0.2,0.167,5.9,11.8,1.5,0.133
20,손용준,LG,0.2,9,16,15,3,3,0,0,0,3,1,1,0,0,1,5,2,0.2,0.25,0.45,1,0,0,0,7,0,0,1,3.19,0.2,0,0,0.25,0,0,0,0.163,17.3,0.222,-0.1,0.3,0,31.3,0.6,0.067
21,김정율,LG,0.182,13,13,11,0,2,0,0,0,2,1,1,0,1,0,6,0,0.182,0.231,0.413,0,1,0,0,1,3,0.33,0,4.46,1,0,0,0,0,0.17,0,0.149,2,0.201,-0.1,0.333,7.7,46.2,0.5,0.182
22,김현종,LG,0.4,10,6,5,3,2,1,0,0,3,0,0,0,1,0,1,1,0.6,0.5,1.1,0,0,0,1,2,0,0,0,2.83,0.9,0,0,0,0.5,1,0.2,0.375,215.8,0.498,0.1,0.5,16.7,16.7,1.5,0.4
22,최승민,LG,0,19,6,5,6,0,0,0,0,0,0,1,2,1,0,2,0,0,0.167,0.167,1,0,0,0,3,0,0,0,3.17,-0.6,0,0,0,0,0.5,0,0.075,-51.9,0.126,-0.3,0,16.7,33.3,0,0
24,김성우,LG,0.2,7,5,5,0,1,0,0,0,1,1,0,0,0,0,1,0,0.2,0.2,0.4,0,0,0,0,2,1,2,0,2.8,0.1,0,0,0.333,0,0,0,0.14,-9.2,0.186,0,0.25,0,20,0.2,0
25,김준태,LG,1,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0.8,0,0,0,1,0,0,0.7,464.4,0.843,0.1,1,50,0,1,1
25,유영찬,LG,0,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,4,0.3,0,0,0,0,0,0,0.225,130.2,0.379,-0.1,0,50,0,0,1
27,김진수,LG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,우강훈,LG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,박명근,LG,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,김영우,LG,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,이우찬,LG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
