순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
31,김태혁,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,디아즈,삼성,0.314,144,628,551,93,173,32,0,50,355,158,1,0,60,6,100,15,0.644,0.381,1.025,4,11,0,82,103,186,0.55,16,3.82,126,10,50,0.352,1,0.6,0.33,0.332,173.9,0.44,7,0.299,9.6,15.9,135.4,0.441
2,구자욱,삼성,0.319,142,616,529,106,169,43,2,19,273,96,4,1,73,5,91,9,0.516,0.402,0.918,3,8,1,64,147,130,1.13,15,4.05,105.7,7,46,0.351,0.333,0.8,0.197,0.31,154.6,0.413,4.6,0.351,11.9,14.8,109.7,0.34
3,이재현,삼성,0.254,139,555,457,82,116,29,1,16,195,67,6,1,69,11,119,8,0.427,0.36,0.787,23,8,10,46,88,142,0.62,6,4.37,76.6,1,29,0.256,0.333,0.58,0.173,0.269,117.7,0.362,2.6,0.303,12.4,21.4,68.6,0.335
4,김성윤,삼성,0.331,127,538,456,92,151,29,9,6,216,61,26,7,65,5,54,11,0.474,0.419,0.893,2,2,10,44,159,94,1.69,4,3.67,87.8,0,45,0.402,0.4,1.2,0.143,0.307,153.7,0.412,5.4,0.364,12.1,10,89.6,0.327
5,김영웅,삼성,0.249,125,499,446,66,111,22,2,22,203,72,6,2,48,2,143,6,0.455,0.323,0.778,11,3,0,46,83,112,0.74,3,3.97,66.9,3,25,0.268,0,0.34,0.206,0.259,108.6,0.349,2.7,0.313,9.6,28.7,65.3,0.323
6,강민호,삼성,0.269,127,465,412,37,111,23,1,12,172,71,2,2,38,7,69,16,0.417,0.336,0.753,2,7,1,36,130,109,1.19,6,3.62,56.1,4,26,0.333,0.3,0.55,0.148,0.255,104.6,0.344,2.4,0.293,8.2,14.8,57,0.24
7,류지혁,삼성,0.28,129,464,400,54,112,14,0,1,129,37,11,6,33,13,73,11,0.323,0.351,0.674,5,4,14,15,130,89,1.46,3,3.82,47.2,0,29,0.247,0.2,0.45,0.043,0.239,89.7,0.323,1,0.336,7.1,15.7,43.2,0.138
8,김지찬,삼성,0.281,90,373,317,59,89,9,2,0,102,23,22,3,38,5,44,7,0.322,0.364,0.686,1,3,10,11,105,82,1.28,4,3.78,43.2,0,24,0.286,0,0.86,0.041,0.244,95.6,0.331,1.5,0.322,10.2,11.8,36.5,0.221
9,박병호,삼성,0.199,77,232,196,26,39,5,0,15,89,33,0,0,27,7,70,5,0.454,0.315,0.769,2,2,0,20,36,53,0.68,2,4.22,30.5,0,9,0.208,0.063,0.39,0.255,0.255,105.5,0.345,-0.2,0.212,11.6,30.2,26.3,0.393
