시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
충청북도,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,15,0
전라남도,기타(쓰레기 화재등),부주의,쓰레기 소각,기타,0,3,15,0
전북특별자치도,"자동차,철도차량",전기적 요인,절연열화에 의한 단락,"자동차,철도차량",0,3,15,0
전라남도,"건축,구조물",기계적 요인,노후,기타서비스,0,3,15,0
경상북도,"건축,구조물",미상,미상,산업시설,0,3,15,0
경상북도,"자동차,철도차량",교통사고,교통사고,"자동차,철도차량",0,3,15,0
경기도,"자동차,철도차량",미상,미상,"자동차,철도차량",0,3,16,0
경기도,"건축,구조물",전기적 요인,트래킹에 의한 단락,생활서비스,0,3,16,0
전북특별자치도,"건축,구조물",부주의,담배꽁초,기타서비스,0,3,16,0
강원특별자치도,"건축,구조물",부주의,"불씨,불꽃,화원방치",주거,0,3,16,0
경기도,"자동차,철도차량",부주의,담배꽁초,"자동차,철도차량",0,3,16,0
경기도,"건축,구조물",전기적 요인,미확인단락,주거,0,3,16,0
서울특별시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,17,0
전북특별자치도,"건축,구조물",부주의,"용접, 절단, 연마",기타서비스,0,3,18,0
충청남도,"건축,구조물",전기적 요인,접촉불량에 의한 단락,주거,0,3,18,0
서울특별시,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,18,0
대구광역시,"건축,구조물",부주의,"용접, 절단, 연마",산업시설,0,3,18,0
경기도,"건축,구조물",기계적 요인,"과열, 과부하",산업시설,0,3,18,0
충청남도,"건축,구조물",부주의,음식물 조리중,생활서비스,0,3,19,0
경기도,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,19,0
충청북도,"건축,구조물",전기적 요인,트래킹에 의한 단락,기타서비스,0,3,20,0
경기도,"건축,구조물",미상,미상,생활서비스,0,3,20,0
부산광역시,"건축,구조물",부주의,담배꽁초,주거,0,3,21,0
서울특별시,"건축,구조물",부주의,가연물 근접방치,"판매,업무시설",0,3,21,0
전라남도,"건축,구조물",기계적 요인,정비불량,생활서비스,0,3,21,0
전라남도,"건축,구조물",부주의,담배꽁초,생활서비스,0,3,22,0
경기도,"건축,구조물",부주의,담배꽁초,"의료,복지시설",0,3,22,0
전북특별자치도,"건축,구조물",부주의,"불씨,불꽃,화원방치",산업시설,0,3,22,0
충청북도,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,3,22,0
서울특별시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,22,0
경기도,"건축,구조물",부주의,음식물 조리중,생활서비스,0,3,23,0
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,"판매,업무시설",0,3,23,0
충청북도,"건축,구조물",전기적 요인,과부하/과전류,기타서비스,0,3,0,1
대전광역시,"건축,구조물",부주의,담배꽁초,주거,0,3,0,1
경기도,"건축,구조물",전기적 요인,기타(전기적요인),주거,0,3,0,1
경상남도,"건축,구조물",부주의,쓰레기 소각,산업시설,0,3,1,1
경상북도,"건축,구조물",전기적 요인,과부하/과전류,주거,0,3,1,1
전북특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",산업시설,0,3,2,1
경기도,"자동차,철도차량",전기적 요인,트래킹에 의한 단락,"자동차,철도차량",0,3,3,1
전라남도,"선박,항공기",부주의,"기기(전기, 기계 등) 사용.설치부주의","선박,항공기",0,3,3,1
