위도,경도,정류소ID,정류소명,정류소번호,수집일시,위치구분
35.84796,128.52789,DGB7041055600,용산역,2460,2026-07-02,달서구
35.84366,128.52774,DGB7041055700,장기초등학교앞,2518,2026-07-02,달서구
35.84351,128.52736,DGB7041055800,장기초등학교건너,2683,2026-07-02,달서구
35.84676,128.52934,DGB7041055900,대구반도체마이스터고등학교 남편,2627,2026-07-02,달서구
35.84332,128.52371,DGB7041056000,달서아트센터앞,2989,2026-07-02,달서구
35.84355,128.52382,DGB7041056100,달서아트센터건너,2988,2026-07-02,달서구
35.83757,128.53845,DGB7041056200,본리네거리3,696,2026-07-02,달서구
35.83664,128.48571,DGB7041056300,성림첨단산업건너,978,2026-07-02,달서구
35.83664,128.48588,DGB7041056400,성림첨단산업앞,1157,2026-07-02,달서구
35.81838,128.51987,DGB7041056500,월배힐스테이트앞,1934,2026-07-02,달서구
35.81659,128.5176,DGB7041056800,월배쌍용예가앞,1959,2026-07-02,달서구
35.81642,128.51765,DGB7041056900,월배쌍용예가건너,1962,2026-07-02,달서구
35.81819,128.51983,DGB7041057000,월배힐스테이트건너,1963,2026-07-02,달서구
35.8152,128.51284,DGB7041057100,월배차량기지앞,2444,2026-07-02,달서구
35.81541,128.51295,DGB7041057200,월배차량기지건너,2443,2026-07-02,달서구
35.85383,128.4997,DGB7041057300,청남타운건너,2466,2026-07-02,달서구
35.81263,128.53661,DGB7041057400,상인2동행정복지센터건너,21799,2026-07-02,달서구
35.81072,128.53617,DGB7041057500,상화네거리,3158,2026-07-02,달서구
35.83905,128.55696,DGB7041057600,서부정류장역북편1,2786,2026-07-02,달서구
35.83907,128.55649,DGB7041057700,서부정류장역북편2,2787,2026-07-02,달서구
35.83861,128.55226,DGB7041057800,삼호아파트건너,2788,2026-07-02,달서구
35.83956,128.54742,DGB7041057900,성당초교앞,2789,2026-07-02,달서구
35.80583,128.52081,DGB7041058100,대진중고등학교건너,21608,2026-07-02,달서구
35.80406,128.51658,DGB7041058200,정부대구지방합동청사앞,21606,2026-07-02,달서구
35.80381,128.51729,DGB7041058300,정부대구지방합동청사건너,21607,2026-07-02,달서구
35.8058,128.52047,DGB7041058400,대진중고등학교앞,21605,2026-07-02,달서구
35.80475,128.5178,DGB7041058500,정부대구지방합동청사후문1,2750,2026-07-02,달서구
35.85395,128.52944,DGB7041058600,1차서한화성타운건너,2966,2026-07-02,달서구
35.81736,128.50451,DGB7041058700,성서4차산업단지앞2,21603,2026-07-02,달서구
35.81493,128.51584,DGB7041058800,월배아이파크1차앞,3856,2026-07-02,달서구
35.81506,128.51631,DGB7041058900,진천역AK그랑폴리스아파트앞,9231,2026-07-02,달서구
35.82738,128.52325,DGB7041059000,e-편한세상월배앞,3855,2026-07-02,달서구
35.82736,128.5235,DGB7041059100,e-편한세상월배건너,3854,2026-07-02,달서구
35.80487,128.51781,DGB7041059200,정부대구지방합동청사후문2,21022,2026-07-02,달서구
35.8366,128.55657,DGB7041059300,서부정류장(관문시장건너)2,3852,2026-07-02,달서구
35.80951,128.53144,DGB7041059500,대곡주공5단지앞,3862,2026-07-02,달서구
35.80989,128.53231,DGB7041059600,대곡주공5단지건너,3863,2026-07-02,달서구
35.81281,128.51669,DGB7041059700,달서자동차검사소앞,3858,2026-07-02,달서구
35.81292,128.51626,DGB7041059800,달서자동차검사소건너,3857,2026-07-02,달서구
35.85122,128.53708,DGB7041059900,죽전역(1번출구),3887,2026-07-02,달서구
35.80775,128.52732,DGB7041060100,남도버스1,21774,2026-07-02,달서구
35.80816,128.5273,DGB7041060200,남도버스2,3901,2026-07-02,달서구
35.90526,128.41317,DGB1570000400,묘1리 파회,4234,2026-07-02,달성군
35.8232,128.7226,DGB3600011100,옥산농협 건너,,2026-07-02,수성구
35.8231,128.723,DGB3600011200,옥산농협,,2026-07-02,수성구
35.8145,128.7514,DGB3600015400,사동초원파크 건너,,2026-07-02,수성구
35.8146,128.7514,DGB3600015500,사동초원파크 앞,,2026-07-02,수성구
35.824,128.7434,DGB3600021900,경산보건소,,2026-07-02,수성구
35.84052,128.76275,DGB3600035800,압량한라빌라트 건너,,2026-07-02,수성구
35.86809,128.77613,DGB3600052500,현흥리(경산방향),,2026-07-02,동구
35.8681,128.7764,DGB3600052600,현흥리(진량방향),,2026-07-02,동구
35.8726,128.7821,DGB3600054900,현흥2리(진량방향),,2026-07-02,동구
35.87247,128.78067,DGB3600055000,현흥2리(경산방향),,2026-07-02,동구
35.8734,128.7902,DGB3600055800,연지입구(진량방향),,2026-07-02,동구
35.8798,128.8123,DGB3600061300,보인1리(매일유업),,2026-07-02,동구
35.90231,128.80075,DGB3600064800,경일대정문 건너,,2026-07-02,동구
35.897,128.8493,DGB3600070200,대구대정문 건너,,2026-07-02,동구
35.83388,128.73282,DGB3600090100,영대교(영대방향),,2026-07-02,수성구
35.83417,128.72687,DGB3600090700,정평역2번출구,,2026-07-02,수성구
35.8342,128.73708,DGB3600095400,중방e편한세상 건너,,2026-07-02,수성구
35.84067,128.76414,DGB3600099600,신대근린공원 건너,,2026-07-02,수성구
35.84071,128.76399,DGB3600099700,신대근린공원 앞,,2026-07-02,수성구
35.84005,128.75894,DGB3600106100,압량성당 앞,,2026-07-02,수성구
35.90017,128.83867,DGB3600106500,내리리입구 건너,,2026-07-02,동구
35.90043,128.83783,DGB3600107200,내리리입구,,2026-07-02,동구
35.8139,128.75319,DGB3600108300,소라아파트 앞,,2026-07-02,수성구
