round,gameweek,dayofweek,date,start_time,home_team,away_team,score,home_score,away_score,home_pens,away_pens,went_to_penalties,attendance,venue,referee,home_formation,away_formation,home_manager,away_manager,home_captain,away_captain,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_cards_yellow,away_cards_yellow,home_cards_red,away_cards_red,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_interceptions,away_interceptions,home_offsides,away_offsides,notes
조별리그,3,금,2026-06-26,05:00,에콰도르,독일,2-1,2.0,1.0,,,false,80663,"MetLife Stadium, East Rutherford",토리 펜소,4-2-2-2,4-2-3-1,세바스틴 베카크케케,율리안 나겔스만,모세스 카이케도,요주아 키미히,39,61,3,3,7,11,2,1,3,1,0,0,15,10,3,2,12,16,12,4,,,
조별리그,3,금,2026-06-26,08:00,튀니지,네덜란드,1-3,1.0,3.0,,,false,68391,"GEHA Field at Arrowhead Stadium, Kansas City",카티 갈키,5-4-1,4-1-4-1,에르베 르나르,로날드 쿠만,엘리스 스크히리,빌길 반 딕즈,29,72,4,7,10,20,4,3,0,0,0,0,11,10,4,6,13,28,8,10,2,1,
조별리그,3,금,2026-06-26,08:00,일본,스웨덴,1-1,1.0,1.0,,,false,70137,"AT&T Stadium, Arlington",이반 발톤,3-4-3,3-4-3,모리야스 하지메,그레이엄 포터,코 이타쿠라,비크톨 린데로프,52,48,3,5,8,11,4,2,1,2,0,0,20,11,2,8,13,16,4,5,3,2,
조별리그,3,금,2026-06-26,11:00,튀르키예,미국,3-2,3.0,2.0,,,false,70492,"SoFi Stadium, Inglewood",무스탑하 골발,5-4-1,4-2-3-1,빈첸초 몬텔라,마우리시오 포체티노,제키 케릭,웨스턴 맥케니,48,53,3,7,9,18,5,0,0,1,0,0,13,13,2,9,11,18,8,11,2,5,
조별리그,3,금,2026-06-26,11:00,파라과이,호주,0-0,0.0,0.0,,,false,68827,"Levi's Stadium, Santa Clara",크레메느트 툴핀,5-3-2,3-4-3,구스타보 알파로,토니 포포비크,구스타보 고메즈,할리 소이트탈,44,56,2,5,7,12,5,2,1,1,0,0,9,6,1,3,7,13,8,7,,,
조별리그,3,토,2026-06-27,04:00,노르웨이,프랑스,1-4,1.0,4.0,,,false,64146,"Gillette Stadium, Foxborough",미크할 오리벨,4-1-4-1,4-2-3-1,스톨레 솔바켄,구 스텝한,파트릭크 벡르,킬리안 음바페,43,57,4,9,10,18,5,2,1,1,0,0,9,11,4,5,9,9,13,11,1,2,
조별리그,3,토,2026-06-27,04:00,세네갈,이라크,5-0,5.0,0.0,,,false,43036,"BMO Field, Toronto",아느트호니 테이롤,4-1-4-1,4-2-3-1,파페 시,그레이엄 아널드,이드리스사 구,입라힘 바시,69,31,12,1,28,6,1,7,2,2,0,1,10,11,12,3,25,6,2,7,1,0,
조별리그,3,토,2026-06-27,09:00,우루과이,스페인,0-1,0.0,1.0,,,false,45065,"Estadio Akron, Zapopan",이스말이 엘파트,4-1-4-1,4-1-4-1,마르셀로 비엘사,루이스 데라푸엔테,페데리코 발벨데,로드리,33,67,1,1,5,6,0,1,3,1,1,0,14,14,1,6,16,12,14,9,5,2,
조별리그,3,토,2026-06-27,09:00,카보베르데,사우디아라비아,0-0,0.0,0.0,,,false,68278,"Reliant Stadium, Houston",프란코스 레테크실,4-1-4-1,4-2-3-1,부비스타,겔기스 도니스,린 멘데스,사렘 알-다사리,51,49,2,3,15,7,3,2,1,3,0,0,10,16,4,2,18,10,13,10,2,0,
조별리그,3,토,2026-06-27,12:00,이집트,이란,1-1,1.0,1.0,,,false,66925,"Lumen Field, Seattle",스지몬 말키닉,4-2-2-2,5-4-1,호삼 하산,아밀 가레노이,모하메드 살라,메디 타레미,61,39,3,4,15,13,1,2,3,4,0,0,11,16,8,2,15,10,7,8,0,3,
