player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Jamiro Monteiro,Cabo Verde,Cape Verde,MF,32,1993,Zwolle,4,3,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,1.6,0.32,0,0,70,72.1,76,0,1,54,0,0.75,3,4,-1,-0.32,-0.32,0,4,2,0,7,4,4,,,0,,,,,,,,,,,,,,,,,,
Jovane Cabral,Cabo Verde,Cape Verde,FW,28,1998,Estrela,2,2,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.29,0,0,,70,35.6,70,0,0,,2,0.5,1,1,0,0,0.36,0,1,2,0,1,1,3,,,0,,,,,,,,,,,,,,,,,,
Jo?o Paulo Fernandes,Cabo Verde,Cape Verde,DF,28,1998,FCSB,2,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.71,0,0,,53,26.9,90,1,1,15,2,1,0,0,0,0,0.32,0,0,4,0,5,6,1,,,0,,,,,,,,,,,,,,,,,,
Kelvin Pires,Cabo Verde,Cape Verde,DF,26,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Pina,Cabo Verde,Cape Verde,MF,29,1997,Krasnodar,4,4,349,3.9,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,5,1,20,1.29,0.26,0.2,1,87,89.5,87,2,0,,0,0.75,3,4,-1,-0.26,-0.26,0,5,3,0,2,3,7,,,0,,,,,,,,,,,,,,,,,,
Laros Duarte,Cabo Verde,Cape Verde,MF,29,1997,Pusk?s Akad.,4,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,1.63,1.63,0,0,42,42.6,63,0,2,20,0,0.75,1,1,0,0,0.4,0,0,2,0,2,2,1,,,0,,,,,,,,,,,,,,,,,,
Logan Costa,Cabo Verde,Cape Verde,DF,25,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M?rcio Rosa,Cabo Verde,Cape Verde,GK,29,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuno da Costa,Cabo Verde,Cape Verde,FW,35,1991,Ba?ak?ehir,4,1,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.57,0,0,,40,40.8,66,0,3,31,0,0.75,2,1,1,0.57,1.35,0,0,3,0,1,1,2,,,0,,,,,,,,,,,,,,,,,,
Pico,Cabo Verde,Cape Verde,DF,33,1992,Shamrock,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.46,0,0,,98,100,98,4,0,,0,0.75,4,5,-1,-0.23,,0,0,3,0,0,7,5,,,0,,,,,,,,,,,,,,,,,,
Ryan Mendes,Cabo Verde,Cape Verde,"FW,MF",36,1990,,4,4,330,3.7,0,1,1,0,0,0,0,0,0,0.27,0.27,0,0.27,6,0,0,1.64,0,0,,83,84.6,83,2,0,,0,0.75,3,3,0,0,1.5,0,1,2,2,3,5,2,,,0,,,,,,,,,,,,,,,,,,
Sidny Lopes Cabral,Cabo Verde,Cape Verde,DF,23,2002,Benfica,3,3,285,3.2,1,0,1,1,0,0,2,0,0.32,0,0.32,0.32,0.32,4,2,50,1.26,0.63,0.25,0.5,95,73.1,95,2,0,,0,0.67,4,5,-1,-0.32,-0.32,0,2,9,0,12,4,2,,,0,,,,,,,,,,,,,,,,,,
Steven Moreira,Cabo Verde,Cape Verde,DF,31,1994,Columbus Crew,4,3,301,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6,0,0,,75,77.2,100,3,1,1,0,0.75,4,5,-1,-0.3,-0.3,0,0,2,0,4,2,3,,,0,,,,,,,,,,,,,,,,,,
Stopira,Cabo Verde,Cape Verde,DF,38,1988,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telmo Arcanjo,Cabo Verde,Cape Verde,MF,24,2001,Vit. Guimar?es,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,29,14.6,45,0,1,12,1,1,1,2,-1,-1.58,-1.58,0,0,1,0,1,0,0,,,0,,,,,,,,,,,,,,,,,,
Vozinha,Cabo Verde,Cape Verde,GK,40,1986,,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,98,100,98,4,0,,0,0.75,4,5,-1,-0.23,,0,0,3,0,0,0,0,,,0,4,4,390,5,1.15,23,18,78.3,0,3,1,2,50,0,0,0,0,
Wagner Pina,Cabo Verde,Cape Verde,DF,23,2002,Trabzonspor,1,1,89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.01,0,0,,89,22.8,89,0,0,,3,1,0,0,0,0,0.3,0,1,3,0,2,1,0,,,0,,,,,,,,,,,,,,,,,,
