player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
일린 파크호,에콰도르,에콰도르,DF,24,2001,파리 생제르맹,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.25,0.25,0.0,0.0,90.0,100.0,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,0.0,3.0,2.0,0.0,0.0,8.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
이말 메디나,에콰도르,에콰도르,"DF,MF",21,2004,헹크,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,45.0,12.5,,0,1,45.0,3,0.0,0.0,0.0,0.0,0.0,0.57,0.0,1.0,0.0,0.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
안게로 프레키도,에콰도르,에콰도르,"DF,MF",28,1998,아틀레치쿠 미네이루,4,0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,30.3,,0,4,27.0,0,1.0,1.0,1.0,0.0,0.0,0.72,0.0,0.0,1.0,0.0,7.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
아메드 파토이,이집트,이집트,DF,28,1998,,3,3,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.34,0.34,0.0,0.0,89.0,55.6,89.0,2,0,,0,1.67,5.0,3.0,2.0,0.67,1.1,0.0,2.0,3.0,0.0,8.0,4.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
엘 마디 소리만,이집트,이집트,GK,39,1987,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에맘 아스홀이,이집트,이집트,MF,28,1998,,5,5,362.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,10.0,2.0,20.0,2.49,0.5,0.2,1.0,72.0,75.4,72.0,1,0,,0,1.2,7.0,4.0,3.0,0.75,2.27,0.0,2.0,13.0,0.0,4.0,4.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
하이스셈 하스산,이집트,이집트,MF,24,2002,오비에도,2,1,126.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.71,0.71,0.0,0.71,1.0,0.0,0.0,0.71,0.0,0.0,,63.0,26.3,72.0,0,1,54.0,3,0.5,2.0,0.0,2.0,1.43,1.68,0.0,2.0,2.0,0.0,9.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
함디 파트히,이집트,이집트,"DF,MF",31,1994,,4,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,60.0,49.6,64.0,0,1,45.0,0,1.25,3.0,6.0,-3.0,-1.13,-2.62,0.0,3.0,2.0,1.0,1.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
함자 압델카림,이집트,이집트,FW,18,2008,,4,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,15.0,12.5,,0,4,15.0,1,1.5,1.0,0.0,1.0,1.5,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
호스삼 압델마구드,이집트,이집트,DF,25,2001,,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,30.0,12.3,,0,2,30.0,2,2.0,0.0,0.0,0.0,0.0,-0.21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
입라힘 아델,이집트,이집트,MF,25,2001,노르셸란,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,0.6,,0,1,3.0,4,1.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
카림 하페즈,이집트,이집트,DF,30,1996,,3,2,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,1.0,0.0,0.0,0.52,0.0,0.0,,57.0,35.8,85.0,1,1,3.0,2,0.67,3.0,4.0,-1.0,-0.52,-1.11,0.0,1.0,2.0,0.0,3.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
마모이드 사벨,이집트,이집트,MF,24,2001,,2,1,46.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.96,0.0,1.96,1.96,1.96,3.0,1.0,33.3,5.87,1.96,0.33,1.0,23.0,9.6,45.0,0,1,1.0,3,1.0,1.0,1.0,0.0,0.0,-0.21,0.0,2.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
말안 아트티,이집트,이집트,MF,27,1998,,5,4,434.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,4.0,0.0,0.0,0.83,0.0,0.0,,87.0,90.4,97.0,3,1,45.0,0,1.2,7.0,6.0,1.0,0.21,0.21,0.0,8.0,1.0,0.0,11.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
모하메드 압델모넴,이집트,이집트,DF,27,1999,니스,2,1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,2.9,13.0,0,1,1.0,1,2.0,1.0,1.0,0.0,0.0,-0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
